Function
ClearErrors
efi_main
list_add_tail
shim_load_image
FetchNetbootimage
efi_status_from_http_status
list_del
shim_mem_attrs_to_uefi_mem_attrs
ImageAddress
efi_update_mem_attrs
list_empty
shim_read_header
LogError_
extract_hostname
load_cert_file
shim_start_image
LogHexdump_
extract_tftp_info
load_image
shim_unload_image
PrintErrors
fallback_should_prefer_reset
load_revocations_file
shim_verify
Sha1Duplicate
findNetboot
load_shim_options
should_mirror_build_cert
Sha1Final
find_httpboot
load_unbundled_trust
should_use_fallback
Sha1GetContextSize
format_debug_log
log_debug_print
split_load_options
Sha1Init
format_error_log
maybe_mirror_one_mok_variable
ssp_ver_to_ull
Sha1Update
format_hsi_status
mirror_mok_db
start_image
StrCSpn
free_csv_list
mirror_one_esl
status_from_error
StrCaseCmp
generate_hash
mirror_one_mok_variable
str16_to_str8
StrnCaseCmp
generate_next_uri
nth_sbat_field
str2ip6
VLogError
generate_path_from_image_path
parseDhcp4
str2ns
__list_add
get_active_systab
parseDhcp6
strnchrnul
__list_del
get_dxe_services_table
parseNetbootinfo
strntoken
__list_del_entry
get_efi_mem_attr_protocol
parse_csv_data
tpm2_get_caps
_start
get_file_size
parse_csv_line
tpm2_present
_text
get_hsi_mem_info
parse_load_options
tpm_data_measured
allow_32_bit
get_load_option_optional_data
parse_sbat_section
tpm_locate_protocol
allow_64_bit
get_max_var_sz
parse_sbat_var
tpm_log_event
ascii_to_int
get_mem_attrs
parse_sbat_var_data
tpm_log_event_raw
categorize_authorized
get_nic_handle
prepare_hex
tpm_log_pe
categorize_deauthorized
get_section_vma
prepare_text
tpm_measure_variable
cc_log_event_raw
get_section_vma_by_name
preserve_sbat_uefi_variable
tpm_present
check_allowlist
get_shim_nx_capability
preserve_ssp_uefi_variable
tpm_record_data_measurement
check_db_cert
get_v6_bootfile_url
print_ip4_addr
try_load_from_lf2
check_db_cert_in_ram
handle_image
print_ip6_addr
try_load_from_sfs
check_db_hash
hexdumpat
read_file
uefi_mem_attrs_to_shim_mem_attrs
check_db_hash_in_ram
hexdumpf
read_header
unhook_exit
check_denylist
hook_exit
read_image
unhook_system_services
check_mok_request
hook_system_services
receive_http_response
uninstall_shim_protocols
check_sbat_var_attributes
http_fetch
relocate_coff
update_mem_attrs
check_section_helper
httpboot_fetch_buffer
replace_config_table
update_verification_method
check_var
httpnotify
restore_loaded_image
vdprint_
cleanup_sbat_section_entries
image_is_64_bit
save_logs
verify_buffer
cleanup_sbat_var
image_is_loadable
secure_mode
verify_buffer_authenticode
clear_sbat_policy
import_mok_state
send_http_request
verify_buffer_sbat
clear_ssp_policy
import_one_mok_state
set_ip4
verify_eku
clear_ssp_uefi_variables
init_grub
set_ip6
verify_image
configure_http
init_image_loader
set_sbat_uefi_variable
verify_one_signature
convert_http_status_code
init_openssl
set_sbat_uefi_variable_internal
verify_sbat
debug_hook
install_shim_protocols
set_second_stage
verify_sbat_helper
decode_hsi_bits
is_apple_firmware_vendor
set_ssp_uefi_variable
verify_sbat_section
devel_egress
is_our_path
set_ssp_uefi_variable_internal
verify_single_entry
drain_openssl_errors
is_removable_media_path
shim_exit
verify_x509
dxe_get_mem_attrs
is_unspecified_ip4addr
shim_fini
vhexdumpf
dxe_update_mem_attrs
is_unspecified_ip6addr
shim_hash
wait_for_debug
efi_get_mem_attrs
is_utf8_bom
shim_init
warn_first_log_full
